date,week,year,month,day,volume,close,vwap,trade_count
2019-01-02,1,2019,January,Wednesday,11836650,310.12,307.640086,144873
2019-01-03,1,2019,January,Thursday,7087451,300.36,302.152581,81545
2019-01-04,1,2019,January,Friday,7538704,317.69,311.967824,84464
2019-01-07,2,2019,January,Monday,7660432,334.96,330.7526,87650
2019-01-08,2,2019,January,Tuesday,7212138,335.35,335.523364,75881
2019-01-09,2,2019,January,Wednesday,5524550,338.53,339.122187,60078
2019-01-10,2,2019,January,Thursday,6144686,344.97,340.228154,68050
2019-01-11,2,2019,January,Friday,5127247,347.26,343.886113,56675
2019-01-14,3,2019,January,Monday,5332763,334.4,338.13793,58464
2019-01-15,3,2019,January,Tuesday,6137837,344.43,344.004213,70892
2019-01-16,3,2019,January,Wednesday,4789618,346.05,348.710617,52794
2019-01-17,3,2019,January,Thursday,3766877,347.31,347.740889,41335
2019-01-18,3,2019,January,Friday,24359859,302.26,311.62136,284608
2019-01-22,4,2019,January,Tuesday,12307082,298.92,299.771647,134792
2019-01-23,4,2019,January,Wednesday,12730262,287.59,288.03326,153488
2019-01-24,4,2019,January,Thursday,8234064,291.51,287.96462,92159
2019-01-25,4,2019,January,Friday,7365489,297.04,294.384165,83003
2019-01-28,5,2019,January,Monday,6536493,296.38,293.506564,74273
2019-01-29,5,2019,January,Tuesday,4704262,297.46,295.625578,53973
2019-01-30,5,2019,January,Wednesday,11365394,308.77,303.098997,140201
2019-01-31,5,2019,January,Thursday,12747995,307.02,304.783981,141567
2019-02-01,5,2019,February,Friday,7373679,312.21,311.687281,83571
2019-02-04,6,2019,February,Monday,7450525,312.89,310.940929,80471
2019-02-05,6,2019,February,Tuesday,6838653,321.35,319.360257,78406
2019-02-06,6,2019,February,Wednesday,5133980,317.22,319.293018,56123
2019-02-07,6,2019,February,Thursday,6621295,307.51,308.518619,76035
2019-02-08,6,2019,February,Friday,5913114,305.8,302.941779,69817
2019-02-11,7,2019,February,Monday,7231107,312.84,314.573506,76790
